Code,Classification
207RH0005X,Internal Medicine
207RI0001X,Internal Medicine
207RI0008X,Internal Medicine
207RI0011X,Internal Medicine
207RI0200X,Internal Medicine
207RM1200X,Internal Medicine
207RN0300X,Internal Medicine
207RP1001X,Internal Medicine
207RR0500X,Internal Medicine
207RS0010X,Internal Medicine
207RS0012X,Internal Medicine
207RT0003X,Internal Medicine
207RX0202X,Internal Medicine
207SC0300X,Medical Genetics
207SG0201X,Medical Genetics
207SG0202X,Medical Genetics
207SG0203X,Medical Genetics
207SG0205X,Medical Genetics
207SM0001X,Medical Genetics
207T00000X,Neurological Surgery
207U00000X,Nuclear Medicine
207UN0901X,Nuclear Medicine
207UN0902X,Nuclear Medicine
207UN0903X,Nuclear Medicine
207V00000X,Obstetrics & Gynecology
207VB0002X,Obstetrics & Gynecology
207VC0200X,Obstetrics & Gynecology
207VE0102X,Obstetrics & Gynecology
207VF0040X,Obstetrics & Gynecology
207VG0400X,Obstetrics & Gynecology
207VH0002X,Obstetrics & Gynecology
207VM0101X,Obstetrics & Gynecology
207VX0000X,Obstetrics & Gynecology
207VX0201X,Obstetrics & Gynecology
207W00000X,Ophthalmology
207X00000X,Orthopaedic Surgery
207XP3100X,Orthopaedic Surgery
207XS0106X,Orthopaedic Surgery
207XS0114X,Orthopaedic Surgery
207XS0117X,Orthopaedic Surgery
207XX0004X,Orthopaedic Surgery
207XX0005X,Orthopaedic Surgery
207XX0801X,Orthopaedic Surgery
207Y00000X,Otolaryngology
207YP0228X,Otolaryngology
207YS0012X,Otolaryngology
207YS0123X,Otolaryngology
207YX0007X,Otolaryngology
207YX0602X,Otolaryngology
207YX0901X,Otolaryngology
207YX0905X,Otolaryngology
207ZB0001X,Pathology
207ZC0006X,Pathology
207ZC0008X,Pathology
207ZC0500X,Pathology
207ZD0900X,Pathology
207ZF0201X,Pathology
207ZH0000X,Pathology
207ZI0100X,Pathology
207ZM0300X,Pathology
207ZN0500X,Pathology
207ZP0007X,Pathology
207ZP0101X,Pathology
207ZP0102X,Pathology
207ZP0104X,Pathology
207ZP0105X,Pathology
207ZP0213X,Pathology
208000000X,Pediatrics
2080A0000X,Pediatrics
2080B0002X,Pediatrics
2080C0008X,Pediatrics
2080H0002X,Pediatrics
2080I0007X,Pediatrics
2080N0001X,Pediatrics
2080P0006X,Pediatrics
2080P0008X,Pediatrics
2080P0201X,Pediatrics
2080P0202X,Pediatrics
2080P0203X,Pediatrics
2080P0204X,Pediatrics
2080P0205X,Pediatrics
2080P0206X,Pediatrics
2080P0207X,Pediatrics
2080P0208X,Pediatrics
2080P0210X,Pediatrics
2080P0214X,Pediatrics
2080P0216X,Pediatrics
2080S0010X,Pediatrics
2080S0012X,Pediatrics
2080T0002X,Pediatrics
2080T0004X,Pediatrics
208100000X,Physical Medicine & Rehabilitation
2081H0002X,Physical Medicine & Rehabilitation
2081N0008X,Physical Medicine & Rehabilitation
2081P0004X,Physical Medicine & Rehabilitation
2081P0010X,Physical Medicine & Rehabilitation
2081P2900X,Physical Medicine & Rehabilitation
2081S0010X,Physical Medicine & Rehabilitation
208200000X,Plastic Surgery
2082S0099X,Plastic Surgery
2082S0105X,Plastic Surgery
2083A0100X,Preventive Medicine
2083B0002X,Preventive Medicine
2083C0008X,Preventive Medicine
2083P0011X,Preventive Medicine
2083P0500X,Preventive Medicine
2083P0901X,Preventive Medicine
2083S0010X,Preventive Medicine
2083T0002X,Preventive Medicine
2083X0100X,Preventive Medicine
2084A0401X,Psychiatry & Neurology
2084B0002X,Psychiatry & Neurology
2084B0040X,Psychiatry & Neurology
2084D0003X,Psychiatry & Neurology
2084F0202X,Psychiatry & Neurology
2084H0002X,Psychiatry & Neurology
2084N0008X,Psychiatry & Neurology
2084N0400X,Psychiatry & Neurology
2084N0402X,Psychiatry & Neurology
2084N0600X,Psychiatry & Neurology
2084P0005X,Psychiatry & Neurology
2084P0015X,Psychiatry & Neurology
2084P0800X,Psychiatry & Neurology
2084P0802X,Psychiatry & Neurology
2084P0804X,Psychiatry & Neurology
2084P0805X,Psychiatry & Neurology
2084P2900X,Psychiatry & Neurology
2084S0010X,Psychiatry & Neurology
2084S0012X,Psychiatry & Neurology
2084V0102X,Psychiatry & Neurology
2085B0100X,Radiology
2085D0003X,Radiology
2085H0002X,Radiology
2085N0700X,Radiology
2085N0904X,Radiology
2085P0229X,Radiology
2085R0001X,Radiology
2085R0202X,Radiology
2085R0203X,Radiology
2085R0204X,Radiology
2085R0205X,Radiology
2085U0001X,Radiology
208600000X,Surgery
2086H0002X,Surgery
2086S0102X,Surgery
2086S0105X,Surgery
2086S0120X,Surgery
2086S0122X,Surgery
2086S0127X,Surgery
2086S0129X,Surgery
2086X0206X,Surgery
208800000X,Urology
2088F0040X,Urology
2088P0231X,Urology
208C00000X,Colon & Rectal Surgery
208D00000X,General Practice
208G00000X,Thoracic Surgery (Cardiothoracic Vascular Surgery)
208M00000X,Hospitalist
208U00000X,Clinical Pharmacology
208VP0000X,Pain Medicine
208VP0014X,Pain Medicine
209800000X,Legal Medicine
211D00000X,"Assistant, Podiatric"
213E00000X,Podiatrist
213EG0000X,Podiatrist
213EP0504X,Podiatrist
213EP1101X,Podiatrist
213ER0200X,Podiatrist
213ES0000X,Podiatrist
213ES0103X,Podiatrist
213ES0131X,Podiatrist
221700000X,Art Therapist
222Q00000X,Developmental Therapist
222Z00000X,Orthotist
224900000X,Mastectomy Fitter
224L00000X,Pedorthist
224P00000X,Prosthetist
224Y00000X,Clinical Exercise Physiologist
224Z00000X,Occupational Therapy Assistant
224ZE0001X,Occupational Therapy Assistant
224ZF0002X,Occupational Therapy Assistant
224ZL0004X,Occupational Therapy Assistant
224ZR0403X,Occupational Therapy Assistant
225000000X,Orthotic Fitter
225100000X,Physical Therapist
2251C2600X,Physical Therapist
2251E1200X,Physical Therapist
2251E1300X,Physical Therapist
2251G0304X,Physical Therapist
2251H1200X,Physical Therapist
2251H1300X,Physical Therapist
2251N0400X,Physical Therapist
2251P0200X,Physical Therapist
2251S0007X,Physical Therapist
2251X0800X,Physical Therapist
225200000X,Physical Therapy Assistant
225400000X,Rehabilitation Practitioner
225500000X,Specialist/Technologist
2255A2300X,Specialist/Technologist
2255R0406X,Specialist/Technologist
225600000X,Dance Therapist
225700000X,Massage Therapist
225800000X,Recreation Therapist
225A00000X,Music Therapist
225B00000X,Pulmonary Function Technologist
225C00000X,Rehabilitation Counselor
225CA2400X,Rehabilitation Counselor
225CA2500X,Rehabilitation Counselor
225CX0006X,Rehabilitation Counselor
225X00000X,Occupational Therapist
225XE0001X,Occupational Therapist
225XE1200X,Occupational Therapist
225XF0002X,Occupational Therapist
225XG0600X,Occupational Therapist
225XH1200X,Occupational Therapist
225XH1300X,Occupational Therapist
225XL0004X,Occupational Therapist
225XM0800X,Occupational Therapist
225XN1300X,Occupational Therapist
225XP0019X,Occupational Therapist
225XP0200X,Occupational Therapist
225XR0403X,Occupational Therapist
226300000X,Kinesiotherapist
227800000X,"Respiratory Therapist, Certified"
2278C0205X,"Respiratory Therapist, Certified"
2278E0002X,"Respiratory Therapist, Certified"
2278E1000X,"Respiratory Therapist, Certified"
2278G0305X,"Respiratory Therapist, Certified"
2278G1100X,"Respiratory Therapist, Certified"
2278H0200X,"Respiratory Therapist, Certified"
2278P1004X,"Respiratory Therapist, Certified"
2278P1005X,"Respiratory Therapist, Certified"
2278P1006X,"Respiratory Therapist, Certified"
2278P3800X,"Respiratory Therapist, Certified"
2278P3900X,"Respiratory Therapist, Certified"
2278P4000X,"Respiratory Therapist, Certified"
2278S1500X,"Respiratory Therapist, Certified"
227900000X,"Respiratory Therapist, Registered"
2279C0205X,"Respiratory Therapist, Registered"
2279E0002X,"Respiratory Therapist, Registered"
2279E1000X,"Respiratory Therapist, Registered"
2279G0305X,"Respiratory Therapist, Registered"
2279G1100X,"Respiratory Therapist, Registered"
2279H0200X,"Respiratory Therapist, Registered"
2279P1004X,"Respiratory Therapist, Registered"
2279P1005X,"Respiratory Therapist, Registered"
2279P1006X,"Respiratory Therapist, Registered"
2279P3800X,"Respiratory Therapist, Registered"
2279P3900X,"Respiratory Therapist, Registered"
2279P4000X,"Respiratory Therapist, Registered"
2279S1500X,"Respiratory Therapist, Registered"
229N00000X,Anaplastologist
231H00000X,Audiologist
231HA2400X,Audiologist
231HA2500X,Audiologist
235500000X,Specialist/Technologist
2355A2700X,Specialist/Technologist
2355S0801X,Specialist/Technologist
235Z00000X,Speech-Language Pathologist
237600000X,Audiologist-Hearing Aid Fitter
237700000X,Hearing Instrument Specialist
242T00000X,Perfusionist
243U00000X,Radiology Practitioner Assistant
246Q00000X,"Spec/Tech, Pathology"
246QB0000X,"Spec/Tech, Pathology"
246QC1000X,"Spec/Tech, Pathology"
246QC2700X,"Spec/Tech, Pathology"
246QH0000X,"Spec/Tech, Pathology"
246QH0401X,"Spec/Tech, Pathology"
246QH0600X,"Spec/Tech, Pathology"
246QI0000X,"Spec/Tech, Pathology"
246QL0900X,"Spec/Tech, Pathology"
246QL0901X,"Spec/Tech, Pathology"
246QM0706X,"Spec/Tech, Pathology"
246QM0900X,"Spec/Tech, Pathology"
246R00000X,"Technician, Pathology"
246RH0600X,"Technician, Pathology"
246RM2200X,"Technician, Pathology"
246RP1900X,"Technician, Pathology"
246W00000X,"Technician, Cardiology"
246X00000X,"Spec/Tech, Cardiovascular"
246XC2901X,"Spec/Tech, Cardiovascular"
246XC2903X,"Spec/Tech, Cardiovascular"
246XS1301X,"Spec/Tech, Cardiovascular"
246Y00000X,"Spec/Tech, Health Info"
246YC3301X,"Spec/Tech, Health Info"
246YC3302X,"Spec/Tech, Health Info"
246YR1600X,"Spec/Tech, Health Info"
246Z00000X,"Specialist/Technologist, Other"
246ZA2600X,"Specialist/Technologist, Other"
246ZB0301X,"Specialist/Technologist, Other"
246ZB0302X,"Specialist/Technologist, Other"
246ZB0500X,"Specialist/Technologist, Other"
246ZB0600X,"Specialist/Technologist, Other"
246ZC0007X,"Specialist/Technologist, Other"
246ZE0500X,"Specialist/Technologist, Other"
246ZE0600X,"Specialist/Technologist, Other"
246ZG0701X,"Specialist/Technologist, Other"
246ZG1000X,"Specialist/Technologist, Other"
246ZI1000X,"Specialist/Technologist, Other"
246ZN0300X,"Specialist/Technologist, Other"
246ZS0410X,"Specialist/Technologist, Other"
246ZX2200X,"Specialist/Technologist, Other"
247000000X,"Technician, Health Information"
2470A2800X,"Technician, Health Information"
247100000X,Radiologic Technologist
2471B0102X,Radiologic Technologist
2471C1101X,Radiologic Technologist
2471C1106X,Radiologic Technologist
2471C3401X,Radiologic Technologist
2471C3402X,Radiologic Technologist
2471M1202X,Radiologic Technologist
2471M2300X,Radiologic Technologist
2471N0900X,Radiologic Technologist
2471Q0001X,Radiologic Technologist
2471R0002X,Radiologic Technologist
2471S1302X,Radiologic Technologist
2471V0105X,Radiologic Technologist
2471V0106X,Radiologic Technologist
247200000X,"Technician, Other"
2472B0301X,"Technician, Other"
2472D0500X,"Technician, Other"
2472E0500X,"Technician, Other"
2472R0900X,"Technician, Other"
2472V0600X,"Technician, Other"
247ZC0005X,Pathology
251300000X,Local Education Agency (LEA)
251B00000X,Case Management
251C00000X,"Day Training, Developmentally Disabled Services"
251E00000X,Home Health
251F00000X,Home Infusion
251G00000X,"Hospice Care, Community Based"
251J00000X,Nursing Care
251K00000X,Public Health or Welfare
251S00000X,Community/Behavioral Health
251T00000X,PACE Provider Organization
251V00000X,Voluntary or Charitable
251X00000X,Supports Brokerage
252Y00000X,Early Intervention Provider Agency
253J00000X,Foster Care Agency
253Z00000X,In Home Supportive Care
261Q00000X,Clinic/Center
261QA0005X,Clinic/Center
261QA0006X,Clinic/Center
261QA0600X,Clinic/Center
261QA0900X,Clinic/Center
261QA1903X,Clinic/Center
261QA3000X,Clinic/Center
261QB0400X,Clinic/Center
261QC0050X,Clinic/Center
261QC1500X,Clinic/Center
261QC1800X,Clinic/Center
261QD0000X,Clinic/Center
261QD1600X,Clinic/Center
261QE0002X,Clinic/Center
261QE0700X,Clinic/Center
261QE0800X,Clinic/Center
261QF0050X,Clinic/Center
261QF0400X,Clinic/Center
261QG0250X,Clinic/Center
261QH0100X,Clinic/Center
261QH0700X,Clinic/Center
261QI0500X,Clinic/Center
261QL0400X,Clinic/Center
261QM0801X,Clinic/Center
261QM0850X,Clinic/Center
261QM0855X,Clinic/Center
261QM1000X,Clinic/Center
261QM1100X,Clinic/Center
261QM1101X,Clinic/Center
261QM1102X,Clinic/Center
261QM1103X,Clinic/Center
261QM1200X,Clinic/Center
261QM1300X,Clinic/Center
261QM2500X,Clinic/Center
261QM2800X,Clinic/Center
261QM3000X,Clinic/Center
261QP0904X,Clinic/Center
261QP0905X,Clinic/Center
261QP1100X,Clinic/Center
261QP2000X,Clinic/Center
261QP2300X,Clinic/Center
261QP2400X,Clinic/Center
261QP3300X,Clinic/Center
261QR0200X,Clinic/Center
261QR0206X,Clinic/Center
261QR0207X,Clinic/Center
261QR0208X,Clinic/Center
261QR0400X,Clinic/Center
261QR0401X,Clinic/Center
261QR0404X,Clinic/Center
261QR0405X,Clinic/Center
261QR0800X,Clinic/Center
261QR1100X,Clinic/Center
261QR1300X,Clinic/Center
261QS0112X,Clinic/Center
261QS0132X,Clinic/Center
261QS1000X,Clinic/Center
261QS1200X,Clinic/Center
261QU0200X,Clinic/Center
261QV0200X,Clinic/Center
261QX0100X,Clinic/Center
261QX0200X,Clinic/Center
261QX0203X,Clinic/Center
273100000X,Epilepsy Unit
273R00000X,Psychiatric Unit
273Y00000X,Rehabilitation Unit
275N00000X,Medicare Defined Swing Bed Unit
276400000X,"Rehabilitation, Substance Use Disorder Unit"
281P00000X,Chronic Disease Hospital
281PC2000X,Chronic Disease Hospital
282E00000X,Long Term Care Hospital
282J00000X,Religious Nonmedical Health Care Institution
282N00000X,General Acute Care Hospital
282NC0060X,General Acute Care Hospital
282NC2000X,General Acute Care Hospital
282NR1301X,General Acute Care Hospital
282NW0100X,General Acute Care Hospital
283Q00000X,Psychiatric Hospital
283X00000X,Rehabilitation Hospital
283XC2000X,Rehabilitation Hospital
284300000X,Special Hospital
286500000X,Military Hospital
2865C1500X,Military Hospital
2865M2000X,Military Hospital
2865X1600X,Military Hospital
287300000X,Christian Science Sanitorium
291900000X,Military Clinical Medical Laboratory
291U00000X,Clinical Medical Laboratory
292200000X,Dental Laboratory
293D00000X,Physiological Laboratory
302F00000X,Exclusive Provider Organization
302R00000X,Health Maintenance Organization
305R00000X,Preferred Provider Organization
305S00000X,Point of Service
310400000X,Assisted Living Facility
3104A0625X,Assisted Living Facility
3104A0630X,Assisted Living Facility
310500000X,"Intermediate Care Facility, Mental Illness"
311500000X,Alzheimer Center (Dementia Center)
311Z00000X,Custodial Care Facility
311ZA0620X,Custodial Care Facility
313M00000X,Nursing Facility/Intermediate Care Facility
314000000X,Skilled Nursing Facility
3140N1450X,Skilled Nursing Facility
315D00000X,"Hospice, Inpatient"
315P00000X,"Intermediate Care Facility, Mentally Retarded"
317400000X,Christian Science Facility
320600000X,"Residential Treatment Facility, Mental Retardation and/or Developmental Disabilities"
320700000X,"Residential Treatment Facility, Physical Disabilities"
320800000X,"Community Based Residential Treatment Facility, Mental Illness"
320900000X,"Community Based Residential Treatment, Mental Retardation and/or Developmental Disabilities"
322D00000X,"Residential Treatment Facility, Emotionally Disturbed Children"
323P00000X,Psychiatric Residential Treatment Facility
324500000X,Substance Abuse Rehabilitation Facility
3245S0500X,Substance Abuse Rehabilitation Facility
331L00000X,Blood Bank
332000000X,Military/U.S. Coast Guard Pharmacy
332100000X,Department of Veterans Affairs (VA) Pharmacy
332800000X,Indian Health Service/Tribal/Urban Indian Health (I/T/U) Pharmacy
332900000X,Non-Pharmacy Dispensing Site
332B00000X,Durable Medical Equipment & Medical Supplies
332BC3200X,Durable Medical Equipment & Medical Supplies
332BD1200X,Durable Medical Equipment & Medical Supplies
332BN1400X,Durable Medical Equipment & Medical Supplies
332BP3500X,Durable Medical Equipment & Medical Supplies
332BX2000X,Durable Medical Equipment & Medical Supplies
332G00000X,Eye Bank
332H00000X,"Eyewear Supplier (Equipment, not the service)"
332S00000X,Hearing  Aid Equipment
332U00000X,Home Delivered Meals
333300000X,Emergency Response System Companies
333600000X,Pharmacy
3336C0002X,Pharmacy
3336C0003X,Pharmacy
3336C0004X,Pharmacy
3336H0001X,Pharmacy
3336I0012X,Pharmacy
3336L0003X,Pharmacy
3336M0002X,Pharmacy
3336M0003X,Pharmacy
3336N0007X,Pharmacy
3336S0011X,Pharmacy
335E00000X,Prosthetic/Orthotic Supplier
335G00000X,Medical Foods Supplier
335U00000X,Organ Procurement Organization
335V00000X,Portable X-Ray Supplier
341600000X,Ambulance
3416A0800X,Ambulance
3416L0300X,Ambulance
3416S0300X,Ambulance
341800000X,Military/U.S. Coast Guard Transport
3418M1110X,Military/U.S. Coast Guard Transport
3418M1120X,Military/U.S. Coast Guard Transport
3418M1130X,Military/U.S. Coast Guard Transport
343800000X,Secured Medical Transport (VAN)
343900000X,Non-emergency Medical Transport (VAN)
344600000X,Taxi
344800000X,Air Carrier
347B00000X,Bus
347C00000X,Private Vehicle
347D00000X,Train
347E00000X,Transportation Broker
363A00000X,Physician Assistant
363AM0700X,Physician Assistant
363AS0400X,Physician Assistant
363L00000X,Nurse Practitioner
363LA2100X,Nurse Practitioner
363LA2200X,Nurse Practitioner
363LC0200X,Nurse Practitioner
363LC1500X,Nurse Practitioner
363LF0000X,Nurse Practitioner
363LG0600X,Nurse Practitioner
363LN0000X,Nurse Practitioner
363LN0005X,Nurse Practitioner
363LP0200X,Nurse Practitioner
363LP0222X,Nurse Practitioner
363LP0808X,Nurse Practitioner
363LP1700X,Nurse Practitioner
363LP2300X,Nurse Practitioner
363LS0200X,Nurse Practitioner
363LW0102X,Nurse Practitioner
363LX0001X,Nurse Practitioner
363LX0106X,Nurse Practitioner
364S00000X,Clinical Nurse Specialist
364SA2100X,Clinical Nurse Specialist
364SA2200X,Clinical Nurse Specialist
364SC0200X,Clinical Nurse Specialist
364SC1501X,Clinical Nurse Specialist
364SC2300X,Clinical Nurse Specialist
364SE0003X,Clinical Nurse Specialist
364SE1400X,Clinical Nurse Specialist
364SF0001X,Clinical Nurse Specialist
364SG0600X,Clinical Nurse Specialist
364SH0200X,Clinical Nurse Specialist
364SH1100X,Clinical Nurse Specialist
364SI0800X,Clinical Nurse Specialist
364SL0600X,Clinical Nurse Specialist
364SM0705X,Clinical Nurse Specialist
364SN0000X,Clinical Nurse Specialist
364SN0800X,Clinical Nurse Specialist
364SP0200X,Clinical Nurse Specialist
364SP0807X,Clinical Nurse Specialist
364SP0808X,Clinical Nurse Specialist
364SP0809X,Clinical Nurse Specialist
364SP0810X,Clinical Nurse Specialist
364SP0811X,Clinical Nurse Specialist
364SP0812X,Clinical Nurse Specialist
364SP0813X,Clinical Nurse Specialist
364SP1700X,Clinical Nurse Specialist
364SP2800X,Clinical Nurse Specialist
364SR0400X,Clinical Nurse Specialist
364SS0200X,Clinical Nurse Specialist
364ST0500X,Clinical Nurse Specialist
364SW0102X,Clinical Nurse Specialist
364SX0106X,Clinical Nurse Specialist
364SX0200X,Clinical Nurse Specialist
364SX0204X,Clinical Nurse Specialist
367500000X,"Nurse Anesthetist, Certified Registered"
367A00000X,Advanced Practice Midwife
367H00000X,Anesthesiologist Assistant
372500000X,Chore Provider
372600000X,Adult Companion
373H00000X,Day Training/Habilitation Specialist
374700000X,Technician
3747A0650X,Technician
3747P1801X,Technician
374J00000X,Doula
374K00000X,Religious Nonmedical Practitioner
374T00000X,Religious Nonmedical Nursing Personnel
374U00000X,Home Health Aide
376G00000X,Nursing Home Administrator
376J00000X,Homemaker
376K00000X,Nurse's Aide
385H00000X,Respite Care
385HR2050X,Respite Care
385HR2055X,Respite Care
385HR2060X,Respite Care
385HR2065X,Respite Care
390200000X,Student in an Organized Health Care Education/Training Program
